total_mb,grid,block,smem_kb,pipe,simple_slice_kb,tma_slice_kb,tma_tile_kb
64,32,544,64,2,1024,1024,32
64,32,544,100,2,1024,1024,50
64,32,544,128,2,1024,1024,64
64,32,544,200,2,1024,1024,100
64,32,544,64,2,2048,2048,32
64,32,544,100,2,2048,2048,50
64,32,544,128,2,2048,2048,64
64,32,544,200,2,2048,2048,100
64,32,544,96,3,1024,1024,32
64,32,544,150,3,1024,1024,50
64,32,544,192,3,1024,1024,64
64,32,544,300,3,1024,1024,100
64,32,544,96,3,2048,2048,32
64,32,544,150,3,2048,2048,50
64,32,544,192,3,2048,2048,64
64,32,544,300,3,2048,2048,100
128,32,544,64,2,1024,1024,32
128,32,544,100,2,1024,1024,50
128,32,544,128,2,1024,1024,64
128,32,544,200,2,1024,1024,100
128,32,544,64,2,2048,2048,32
128,32,544,100,2,2048,2048,50
128,32,544,128,2,2048,2048,64
128,32,544,200,2,2048,2048,100
128,32,544,96,3,1024,1024,32
128,32,544,150,3,1024,1024,50
128,32,544,192,3,1024,1024,64
128,32,544,300,3,1024,1024,100
128,32,544,96,3,2048,2048,32
128,32,544,150,3,2048,2048,50
128,32,544,192,3,2048,2048,64
128,32,544,300,3,2048,2048,100
256,32,544,64,2,1024,1024,32
256,32,544,100,2,1024,1024,50
256,32,544,128,2,1024,1024,64
256,32,544,200,2,1024,1024,100
256,32,544,64,2,2048,2048,32
256,32,544,100,2,2048,2048,50
256,32,544,128,2,2048,2048,64
256,32,544,200,2,2048,2048,100
256,32,544,96,3,1024,1024,32
256,32,544,150,3,1024,1024,50
256,32,544,192,3,1024,1024,64
256,32,544,300,3,1024,1024,100
256,32,544,96,3,2048,2048,32
256,32,544,150,3,2048,2048,50
256,32,544,192,3,2048,2048,64
256,32,544,300,3,2048,2048,100
512,32,544,64,2,1024,1024,32
512,32,544,100,2,1024,1024,50
512,32,544,128,2,1024,1024,64
512,32,544,200,2,1024,1024,100
512,32,544,64,2,2048,2048,32
512,32,544,100,2,2048,2048,50
512,32,544,128,2,2048,2048,64
512,32,544,200,2,2048,2048,100
512,32,544,96,3,1024,1024,32
512,32,544,150,3,1024,1024,50
512,32,544,192,3,1024,1024,64
512,32,544,300,3,1024,1024,100
512,32,544,96,3,2048,2048,32
512,32,544,150,3,2048,2048,50
512,32,544,192,3,2048,2048,64
512,32,544,300,3,2048,2048,100
